#Download date: 06/26/2025
Product name,Product code,Purchase date,Purchase price,Drink date
"Cirò Rosso Gaglioppo, Santa Venere 2018",IT30191,01/24/2021,9.95,2019 - 2021
"Montepulciano d'Abruzzo, Vigna Corvino 2019",IT30781,01/24/2021,8.50,2020 - 2023
The Society's Barbera d'Asti Superiore 2018,IT29861,01/24/2021,7.95,2020 - 2023
The Society's Falanghina 2019,IT30181,01/24/2021,8.95,2020 - 2021
"Pecorino Abruzzo, Contesa 2019",IT29291,01/24/2021,9.95,2020 - 2024
"Vermentino Sicilia, Mandrarossa 2019",IT29931,01/24/2021,6.95,2020 - 2021
"Susumaniello Salento Rosso, Vallone 2017",IT30801,01/24/2021,8.50,2020 - 2022
Dogliani Luigi Einaudi 2019,IT30151,01/24/2021,11.95,2020 - 2022
Brindisi Rosato Vigna Flaminio Vallone 2019,IT29691,01/24/2021,7.50,2020 - 2022
"Viña Zorzal Graciano, Navarra 2018",SP15561,01/24/2021,8.50,2020 - 2022
"Öküzgözü-Boğazkere, Vinkara 2016",TU191,01/24/2021,9.50,2019 - 2023
Piemonte Cortese 2019,IT28751,01/24/2021,6.50,2020 - 2021
Everyday Rhône Mixed Dozen,MX216,02/03/2021,125.00,0 - 0
Bleasdale Langhorne Creek Sparkling Shiraz,SG871A,02/03/2021,12.95,0 - 0
Three Choirs Silver Jubilee Gloucestershire 2020,EN1561,03/01/2021,8.95,2021 - 2022
Three Choirs Rosé 2020,EN1551,03/01/2021,8.50,2021 - 2022
The Society's English White 2019,EN1501,03/01/2021,7.75,2020 - 2021
The Society's English White 2020,EN1541,03/01/2021,8.50,2021 - 2022
The Society's Saumur Rosé Brut NV,SG1071,03/01/2021,11.95,0 - 0
Bleasdale Langhorne Creek Sparkling Shiraz,SG871A,03/01/2021,77.50,0 - 0
"Nero d'Avola Terre Siciliane, Paolini 2019",IT30141,03/01/2021,7.50,2020 - 2022
Adventurers Case,WC21108B,04/16/2021,51.00,0 - 0
Tour of the Loire Case,MX2153A,04/16/2021,49.00,0 - 0
France Explorer's Case,MX2151A,04/16/2021,65.00,0 - 0
